hours_coding_daily,preferred_language,typing_speed,import_usage,oop_usage,level
4,Python,44,Yes,Yes,Advanced
5,C++,59,Yes,Yes,Advanced
5,Python,55,Yes,Yes,Advanced
5,Python,59,Yes,Yes,Advanced
5,Python,55,Yes,Yes,Advanced
4,Python,47,Yes,No,Advanced
5,C++,57,Yes,Yes,Advanced
4,C++,47,Yes,Yes,Advanced
4,Java,43,Yes,Yes,Advanced
4.5,Python,59,Yes,Yes,Advanced
4,C++,43,No,Yes,Advanced
5,C++,59,Yes,Yes,Advanced
3.5,C++,49,Yes,Yes,Advanced
4,Java,48,Yes,Yes,Advanced
4.5,Java,52,Yes,Yes,Advanced
4,Java,50,Yes,Yes,Advanced
4,C++,50,Yes,Yes,Advanced
5.5,Python,61,Yes,Yes,Advanced
5,C++,65,No,Yes,Advanced
4,Java,52,Yes,Yes,Advanced
4,C++,50,Yes,Yes,Advanced
5,Java,61,Yes,Yes,Advanced
4,Python,49,No,Yes,Advanced
4,Java,52,Yes,Yes,Advanced
4,Java,45,Yes,Yes,Advanced
4,C++,44,No,Yes,Advanced
5,C++,63,Yes,Yes,Advanced
4,Python,49,Yes,Yes,Advanced
3.5,Java,46,No,Yes,Advanced
4,Java,50,No,Yes,Advanced
5,Java,57,Yes,Yes,Advanced
4,Python,44,Yes,Yes,Advanced
4,Java,45,Yes,Yes,Advanced
4,Python,51,Yes,Yes,Advanced
5,C++,60,Yes,Yes,Advanced
5,C++,64,Yes,Yes,Advanced
5,C++,60,Yes,Yes,Advanced
4,C++,52,Yes,Yes,Advanced
4,Python,48,Yes,Yes,Advanced
5,C++,65,Yes,Yes,Advanced
5.5,Python,55,No,Yes,Advanced
4,C++,48,Yes,Yes,Advanced
5,Java,57,Yes,Yes,Advanced
4,Python,52,No,Yes,Advanced
4,C++,52,No,Yes,Advanced
5,C++,59,Yes,Yes,Advanced
4,C++,51,Yes,Yes,Advanced
5,Java,55,Yes,Yes,Advanced
5,Java,63,Yes,Yes,Advanced
5,C++,61,Yes,Yes,Advanced
4,C++,45,Yes,Yes,Advanced
4,Python,48,No,Yes,Advanced
5,Java,63,Yes,Yes,Advanced
5,Python,59,Yes,Yes,Advanced
4,C++,47,Yes,Yes,Advanced
5,C++,64,Yes,Yes,Advanced
4,C++,49,Yes,Yes,Advanced
5,C++,59,Yes,Yes,Advanced
5,Java,64,Yes,Yes,Advanced
3.5,Python,52,Yes,Yes,Advanced
4,Java,48,Yes,Yes,Advanced
4.5,Python,46,Yes,Yes,Advanced
4,C++,44,Yes,Yes,Advanced
4,C++,52,Yes,Yes,Advanced
2,Python,21,No,No,Beginner
3,C++,36,No,No,Beginner
1.5,Java,27,No,No,Beginner
2,Python,26,No,No,Beginner
1,Python,20,No,No,Beginner
2,Java,22,No,No,Beginner
1,Java,20,No,No,Beginner
1,Python,20,No,No,Beginner
3,Python,32,No,No,Beginner
3,Java,39,No,No,Beginner
2,Python,28,No,No,Beginner
1,Python,20,No,No,Beginner
3,Python,36,No,No,Beginner
1.5,Python,20,No,No,Beginner
2,Java,20,No,No,Beginner
1,Java,20,No,No,Beginner
2,Python,20,No,No,Beginner
2,Python,27,No,No,Beginner
1,Python,20,No,No,Beginner
2,C++,24,No,No,Beginner
2,Java,28,No,No,Beginner
1.5,C++,20,No,No,Beginner
2,C++,27,Yes,No,Beginner
2,Python,22,No,No,Beginner
2.5,C++,25,No,No,Beginner
2,C++,20,Yes,No,Beginner
2.5,Python,25,No,No,Beginner
2,C++,24,No,No,Beginner
1,C++,20,No,No,Beginner
3,Java,28,No,No,Beginner
1.5,C++,20,No,No,Beginner
1,Java,20,No,No,Beginner
1,Python,20,No,No,Beginner
1.5,Python,20,No,No,Beginner
1,Java,20,No,No,Beginner
1,C++,20,No,No,Beginner
3,Java,34,No,No,Beginner
1.5,C++,20,No,No,Beginner
2,Python,20,No,No,Beginner
3,Java,26,No,No,Beginner
1,Python,20,No,No,Beginner
1,C++,20,No,No,Beginner
2.5,Python,23,No,No,Beginner
1,Python,20,No,No,Beginner
3,C++,37,No,No,Beginner
2.5,Java,35,No,No,Beginner
3,Python,31,No,No,Beginner
1,C++,20,No,No,Beginner
1,C++,20,No,No,Beginner
2,Python,26,No,No,Beginner
3,C++,35,No,No,Beginner
1,Python,20,No,No,Beginner
2,Python,25,Yes,No,Beginner
2,Java,23,No,No,Beginner
3,Java,33,No,No,Beginner
1,Java,20,No,No,Beginner
2,Python,22,No,No,Beginner
2,Java,20,No,No,Beginner
1,Java,20,No,No,Beginner
2.5,Java,31,Yes,No,Intermediate
2.5,C++,34,Yes,No,Intermediate
3,Java,33,Yes,No,Intermediate
3,Python,31,Yes,No,Intermediate
3,C++,33,Yes,No,Intermediate
3,Python,32,Yes,No,Intermediate
3,C++,38,Yes,No,Intermediate
2,Java,20,No,No,Intermediate
2,C++,20,No,No,Intermediate
4,Python,48,Yes,Yes,Intermediate
5,C++,62,Yes,Yes,Intermediate
3,Java,33,Yes,No,Intermediate
3,C++,38,Yes,No,Intermediate
3,Java,34,Yes,No,Intermediate
1,Python,20,No,No,Intermediate
3,Python,40,Yes,No,Intermediate
3,Python,40,Yes,No,Intermediate
3.5,Java,32,Yes,No,Intermediate
4,Java,48,No,Yes,Intermediate
5,Python,59,Yes,Yes,Intermediate
4.5,Java,31,No,No,Intermediate
5,Python,58,Yes,Yes,Intermediate
3.5,Python,40,No,Yes,Intermediate
2.5,Python,35,No,Yes,Intermediate
3.5,Java,47,Yes,Yes,Intermediate
3,Java,34,Yes,No,Intermediate
2,C++,28,No,No,Intermediate
3.5,Java,34,Yes,No,Intermediate
4,C++,28,No,Yes,Intermediate
3.5,Java,34,Yes,Yes,Intermediate
4,C++,28,No,No,Intermediate
4,Java,48,No,Yes,Intermediate
4.5,Python,59,Yes,Yes,Intermediate
4.5,Java,31,No,No,Intermediate
4.5,Python,58,Yes,Yes,Intermediate
3,Python,40,No,Yes,Intermediate
2.5,Python,35,No,Yes,Intermediate
3,Java,47,Yes,Yes,Intermediate
2.5,Java,31,Yes,No,Intermediate
2.5,C++,39,Yes,No,Intermediate
3,Java,40,Yes,No,Intermediate
3.5,Python,31,Yes,No,Intermediate
3,C++,40,Yes,No,Intermediate
3,Python,37,Yes,No,Intermediate
3.5,C++,40,Yes,No,Intermediate
2,Java,20,No,No,Intermediate
2.5,C++,40,No,No,Intermediate
4,Python,48,Yes,Yes,Intermediate
5,C++,34,Yes,Yes,Intermediate
3.5,Java,45,Yes,No,Intermediate
3,C++,38,Yes,No,Intermediate
